size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
2	gemma,opus	0.20256949195059154	0.7077539985274848	0.15179315702902252	0.7810087651133495	0.52	26	0.4495412844036697
3	bol,gemma,opus	0.21601616499084894	0.6883545500158501	0.17743526828149256	0.7440150183714879	0.56	28	0.4940202391904325
3	gemma,granite,opus	0.2172083004876055	0.6866346620466117	0.16622162043064131	0.7601928925161862	0.54	27	0.46759259259259267
4	bol,gemma,granite,opus	0.217549726370857	0.6861420886180136	0.17718087096129845	0.7443820361237474	0.56	28	0.4914470642625983
1	opus	0.21907185759667783	0.6839461174469397	0.16581118664320318	0.7607850233059364	0.58	29	0.5081967213114754
3	gemma,haiku,opus	0.21973631992786744	0.6829875009368749	0.1643318272393817	0.7629192877815222	0.62	31	0.5589600742804086
3	gemma,gpt_oss_20b,opus	0.2218382393171426	0.6799550722576193	0.168530351509288	0.7568620976382764	0.58	29	0.5150115473441109
5	bol,gemma,granite,haiku,opus	0.22232717464015547	0.6792496876917932	0.17549058355215327	0.7468206053865982	0.62	31	0.5589600742804085
4	bol,gemma,haiku,opus	0.22347988890707174	0.6775866725353512	0.17748397181443132	0.7439447540260433	0.6	30	0.5366079703429101
4	gemma,granite,haiku,opus	0.22402616523223856	0.6767985623900779	0.16872927445202507	0.7565751124952705	0.62	31	0.5587552252670692
4	bol,gemma,gpt_oss_20b,opus	0.22573958234374195	0.6743266240203376	0.1817583146279087	0.7377781808459802	0.54	27	0.47102115915363385
5	bol,gemma,gpt_oss_20b,granite,opus	0.22688666909331942	0.6726717276552527	0.18321079738738597	0.7356826911719057	0.58	29	0.5145631067961165
4	gemma,gpt_oss_20b,granite,opus	0.22932257585869492	0.6691574570447777	0.17754945095384847	0.7438502875963245	0.56	28	0.4907407407407408
3	gemma,ministral,opus	0.2303604843485363	0.667660071613587	0.17223232890710005	0.7515212732049699	0.52	26	0.4495412844036697
6	bol,gemma,gpt_oss_20b,granite,haiku,opus	0.23048392604459556	0.6674819828908434	0.18259741631934406	0.7365676129969448	0.64	32	0.5823665893271462
4	bol,gemma,ministral,opus	0.23089894387323873	0.6668832387275794	0.18358275731883428	0.7351460664233957	0.56	28	0.4949494949494949
5	bol,gemma,gpt_oss_20b,haiku,opus	0.23153524658615524	0.6659652479591505	0.18356191566479635	0.7351761345743202	0.58	29	0.5134383688600557
4	gemma,gpt_oss_20b,haiku,opus	0.2318261636730816	0.665545543320532	0.17675845278038818	0.744991456738528	0.62	31	0.5581395348837209
